"order_id";"order_date";"region";"city";"product_name";"category";"quantity";"unit_price";"total_revenue";"customer_id";"sales_channel"
"UK-2026-100285";"2026-01-20";"North";"Gurugram";"Cricket Bat English Willow";"Sports";2;9383;"18766";"CUST-95592";"Website"
"UK-2026-104717";"2026-06-02";"West";"Ahmedabad";"Foldable Treadmill T2";"Sports";1;24379;"24379";"CUST-54204";"App"
"UK-2026-102016";"2026-03-01";"Central";"Nagpur";"Mixer Grinder 750W";"Home & Kitchen";1;3258;"3258";"CUST-84935";"App"
"UK-2026-101080";"2026-02-11";"East";"Patna";"Mixer Grinder 750W";"Home & Kitchen";2;3321;"6642";"CUST-45654";"App"
"UK-2026-101085";"2026-02-11";"South";"Hyderabad";"Running Sneakers";"Fashion";1;2718;"2718";"CUST-89016";"Marketplace"
"UK-2026-100021";"2026-01-25";"West";"Pune";"Cotton Kurta Set";"Fashion";1;1319;"1319";"CUST-57583";"App"
"UK-2026-101512";"2026-03-10";"North";"Gurugram";"Wireless Earbuds Pro";"Electronics";1;3004;"3004";"CUST-33335";"Marketplace"
"UK-2026-104837";"2026-06-29";"South";"Chennai";"Power Bank 20000mAh";"Electronics";2;1873;"3746";"CUST-47646";"App"
"UK-2026-100356";"2026-01-28";"Central";"Nagpur";"Mirrorless Camera Lite";"Electronics";1;30409;"30409";"CUST-25865";"App"
"UK-2026-102475";"2026-04-24";"East";"Patna";"Formal Shirt";"Fashion";2;1055;"2110";"CUST-23808";"Website"
"UK-2026-100195";"2026-01-01";"North";"Noida";"Ethnic Dupatta";"Fashion";1;495;"495";"CUST-26150";"App"
"UK-2026-102901";"2026-04-20";"Central";"Indore";"Formal Shirt";"Fashion";3;1123;"3369";"CUST-35550";"App"
"UK-2026-101455";"2026-03-17";"Central";"Indore";"Robot Vacuum R7";"Home & Kitchen";2;19922;"39844";"CUST-49714";"Marketplace"
"UK-2026-102560";"2026-04-16";"West";"Bombay";"Sunscreen SPF50";"Beauty";1;526;"526";"CUST-66474";"App"
"UK-2026-103917";"2026-05-06";"Central";"Raipur";"Makeup Brush Set";"Beauty";2;1271;"2542";"CUST-74831";"Marketplace"
"UK-2026-102448";"2026-04-22";"North";"Gurugram";"Noise-Cancelling Headphones";"Electronics";1;9281;"9281";"CUST-29640";"Marketplace"
"UK-2026-102756";"2026-04-23";"North";"Gurugram";"Cycling Helmet";"Sports";1;1602;"1602";"CUST-62130";"App"
"UK-2026-101814";"2026-03-14";"West";"Pune";"Eau de Parfum 100ml";"Beauty";1;1931;"1931";"CUST-44633";"Marketplace"
"UK-2026-102891";"2026-04-19";"East";"Bhubaneswar";"Gym Gloves";"Sports";1;515;"515";"CUST-95249";"Website"
